MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,COEMISSIONS,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_AS4,TRANSMISSION_AS5,TRANSMISSION_M5,TRANSMISSION_M6,FUEL_E,FUEL_N,FUEL_X,FUEL_Z,scaled_fuel_consumption,scaled_engine_size
AUDI,A4,COMPACT,1.8,4,12.9,251,False,True,False,False,False,False,False,False,False,True,0.3738317757009346,0.2580645161290323
JEEP,CHEROKEE 4X4,SUV,4.0,6,16.6,338,True,False,False,False,False,False,False,False,True,False,0.5467289719626169,0.9677419354838711
MAZDA,626,MID-SIZE,2.5,6,13.7,278,True,False,False,False,False,False,False,False,False,True,0.411214953271028,0.48387096774193555
INFINITI,QX4 4X4,SUV,3.3,6,17.7,366,True,False,False,False,False,False,False,False,True,False,0.5981308411214953,0.7419354838709677
VOLVO,S70,MID-SIZE,2.4,5,13.2,262,False,True,False,False,False,False,False,False,False,True,0.3878504672897196,0.4516129032258065
GMC,C2500 SIERRA,PICKUP TRUCK - STANDARD,5.3,8,17.9,373,True,False,False,False,False,False,False,False,True,False,0.6074766355140186,1.3870967741935485
CHEVROLET,C2500 SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,17.9,373,True,False,False,False,False,False,False,False,True,False,0.6074766355140186,1.3870967741935485
PONTIAC,FIREBIRD/FORMULA,SUBCOMPACT,3.8,6,13.8,265,False,False,False,False,True,False,False,False,True,False,0.41588785046728977,0.903225806451613
MERCEDES-BENZ,CLK 430 CABRIOLET,MINICOMPACT,4.3,8,15.2,304,False,True,False,False,False,False,False,False,False,True,0.48130841121495327,1.0645161290322582
TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,2.4,4,12.2,253,False,False,False,False,True,False,False,False,True,False,0.3411214953271028,0.4516129032258065
MAZDA,626,MID-SIZE,2.0,4,10.6,219,False,False,False,False,True,False,False,False,True,False,0.26635514018691586,0.32258064516129037
FORD,F150 4X4,PICKUP TRUCK - STANDARD,4.6,8,18.8,380,False,False,False,False,True,False,False,False,True,False,0.6495327102803738,1.1612903225806452
SUBARU,LEGACY WAGON AWD,STATION WAGON - MID-SIZE,2.5,4,12.5,253,False,False,False,False,True,False,False,False,True,False,0.35514018691588783,0.48387096774193555
AUDI,TT COUPE QUATTRO (SUPERCHARGED),MINICOMPACT,1.8,4,13.1,260,False,False,False,False,False,True,False,False,False,True,0.38317757009345793,0.2580645161290323
DODGE,GRAND CARAVAN,MINIVAN,3.8,6,15.5,308,False,False,True,False,False,False,False,False,True,False,0.4953271028037383,0.903225806451613
SATURN,SW WAGON #,STATION WAGON - SMALL,1.9,4,10.3,202,False,False,False,False,True,False,False,False,True,False,0.25233644859813087,0.2903225806451613
DODGE,DURANGO 4X4,SUV,4.7,8,19.3,389,True,False,False,False,False,False,False,False,True,False,0.6728971962616823,1.1935483870967745
ISUZU,RODEO 4X4,SUV,3.2,6,16.8,347,False,False,False,False,True,False,False,False,True,False,0.5560747663551402,0.7096774193548389
DAEWOO,LANOS,SUBCOMPACT,1.5,4,11.3,216,True,False,False,False,False,False,False,False,True,False,0.2990654205607477,0.16129032258064518
CHEVROLET,BLAZER,SUV,4.3,6,16.2,336,True,False,False,False,False,False,False,False,True,False,0.5280373831775701,1.0645161290322582
JAGUAR,XK8,SUBCOMPACT,4.0,8,15.4,304,False,True,False,False,False,False,False,False,False,True,0.4906542056074767,0.9677419354838711
