MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,COEMISSIONS,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_AS4,TRANSMISSION_AS5,TRANSMISSION_M5,TRANSMISSION_M6,FUEL_E,FUEL_N,FUEL_X,FUEL_Z,scaled_fuel_consumption,scaled_engine_size,scaled_coemissions
JAGUAR,XK8 CONVERTIBLE,MINICOMPACT,4.0,8,15.5,306,False,True,False,False,False,False,False,False,False,True,0.4953271028037383,0.42857142857142855,0.5166240409207161
JEEP,GRAND CHEROKEE 4X4,SUV,4.0,6,16.5,336,True,False,False,False,False,False,False,False,True,False,0.5420560747663552,0.42857142857142855,0.5933503836317136
VOLVO,S70 T5 TURBO,MID-SIZE,2.3,5,13.0,260,False,False,False,False,True,False,False,False,False,True,0.37850467289719625,0.1857142857142857,0.3989769820971867
VOLKSWAGEN,GOLF,COMPACT,2.0,4,11.9,244,True,False,False,False,False,False,False,False,True,False,0.3271028037383178,0.14285714285714285,0.35805626598465473
CHRYSLER,INTREPID,FULL-SIZE,3.5,6,14.4,283,False,False,True,False,False,False,False,False,True,False,0.44392523364485986,0.35714285714285715,0.4578005115089514
CHRYSLER,INTREPID,FULL-SIZE,3.2,6,14.2,274,False,False,True,False,False,False,False,False,True,False,0.43457943925233644,0.31428571428571433,0.43478260869565216
HYUNDAI,ELANTRA WAGON,STATION WAGON - SMALL,2.0,4,11.4,228,False,False,False,False,True,False,False,False,True,False,0.3037383177570094,0.14285714285714285,0.3171355498721228
AUDI,A6 QUATTRO,MID-SIZE,2.7,6,15.2,304,False,True,False,False,False,False,False,False,False,True,0.48130841121495327,0.24285714285714288,0.5115089514066496
DODGE,DAKOTA,PICKUP TRUCK - STANDARD,5.9,8,20.8,423,True,False,False,False,False,False,False,False,True,False,0.7429906542056075,0.7000000000000001,0.8158567774936062
SUBARU,IMPREZA AWD,SUBCOMPACT,2.2,4,11.7,239,True,False,False,False,False,False,False,False,True,False,0.3177570093457944,0.17142857142857146,0.3452685421994885
AUDI,A4,COMPACT,2.8,6,13.2,260,False,False,False,False,True,False,False,False,False,True,0.3878504672897196,0.2571428571428571,0.3989769820971867
AUDI,S4 QUATTRO,COMPACT,2.7,6,15.2,304,False,True,False,False,False,False,False,False,False,True,0.48130841121495327,0.24285714285714288,0.5115089514066496
NISSAN,ALTIMA,COMPACT,2.4,4,11.6,235,False,False,False,False,True,False,False,False,True,False,0.3130841121495327,0.19999999999999998,0.3350383631713555
DODGE,DAKOTA,PICKUP TRUCK - STANDARD,3.9,6,16.8,329,False,False,False,False,True,False,False,False,True,False,0.5560747663551402,0.41428571428571426,0.5754475703324808
MAZDA,MILLENIA,COMPACT,2.5,6,13.8,276,True,False,False,False,False,False,False,False,False,True,0.41588785046728977,0.21428571428571427,0.4398976982097187
